Number One,Number Two,Their GCD,Time Spent (Milliseconds)
-524,-1975,1,13.962745666503906
-2688,-9455,1,12.96091079711914
-2738,4210,2,12.916326522827148
9810,-2721,3,12.916803359985352
-4998,-1377,51,10.702848434448242
-8300,3252,4,10.281085968017578
3869,9763,1,10.48135757446289
5379,-4656,3,11.250734329223633
-7830,-405,135,9.093284606933594
-1810,-5726,2,11.972427368164062
-2517,406,1,11.251449584960938
-6246,6694,2,9.447336196899414
8025,1504,1,10.72549819946289
3477,7693,1,9.716272354125977
-3730,-9431,1,9.758234024047852
-1470,-106,2,11.042356491088867
1942,992,2,9.973764419555664
-8742,7348,2,11.266231536865234
4064,2496,32,10.970115661621094
7727,9820,1,9.97304916381836
-6589,-9926,1,10.34688949584961
-9425,-5617,1,10.880708694458008
-741,7687,1,9.527921676635742
-919,-671,1,10.972261428833008
1911,4984,7,9.974241256713867
1661,-3678,1,10.804891586303711
-8034,-1109,1,11.260271072387695
-6469,8818,1,10.78653335571289
-9335,499,1,9.789705276489258
-641,-799,1,11.532783508300781
6359,1872,1,9.264945983886719
-4826,-9187,1,10.819196701049805
682,7950,2,10.973453521728516
8278,-1908,2,12.069225311279297
8267,-3752,7,14.374971389770508
2010,4925,5,14.482736587524414
-1075,-585,5,13.962268829345703
-4736,3551,1,13.556480407714844
-4262,-7763,1,11.426210403442383
-8000,-9421,1,14.364242553710938
-4143,-38,1,15.329599380493164
9298,8479,1,13.094425201416016
-7846,8713,1,13.717412948608398
160,3752,8,11.258840560913086
-1451,9489,1,13.95869255065918
-1233,-6571,1,14.805793762207031
2917,1959,1,14.652490615844727
4797,8904,3,12.969255447387695
-1166,1762,2,14.720916748046875
-1968,-6987,3,11.566638946533203
-138,4990,2,14.009952545166016
3738,-4661,1,13.739824295043945
-8623,-2476,1,14.58597183227539
9534,8602,2,13.099431991577148
-6755,2256,1,16.892671585083008
-3951,4380,3,11.514663696289062
353,9889,1,15.288591384887695
1717,-1898,1,13.9007568359375
4963,9341,1,13.963460922241211
-1226,-3438,2,14.959096908569336
1155,-5415,15,12.965202331542969
5418,1736,14,11.539697647094727
8563,368,1,12.994527816772461
5031,-1136,1,15.228986740112305
-6464,-7136,32,13.556480407714844
8561,-3387,1,13.470888137817383
-3697,-3347,1,12.012004852294922
1759,-9945,1,14.015674591064453
-6682,1728,2,14.471769332885742
4841,-2425,1,12.63427734375
-2830,-472,2,14.9383544921875
1449,7747,1,10.945796966552734
-2323,-8720,1,13.423442840576172
-2743,9633,13,14.466524124145508
8337,-164,1,13.89169692993164
-1961,7159,1,14.514684677124023
960,-6826,2,14.100790023803711
-2953,144,1,11.975765228271484
-1257,-807,3,13.924360275268555
9919,7452,1,13.655424118041992
5896,4017,1,13.226032257080078
-4783,2478,1,13.963460922241211
7724,-455,1,11.840343475341797
-5262,5814,6,13.712882995605469
3191,-7677,1,13.899803161621094
5237,8798,1,13.351202011108398
6002,3924,2,15.71965217590332
9282,-3761,1,11.940717697143555
-5002,-9789,1,14.399290084838867
-4822,-7522,2,14.958381652832031
-5215,4266,1,14.107704162597656
8790,-1919,1,13.948202133178711
9424,1558,38,16.808271408081055
-5664,4675,1,17.162561416625977
6820,7116,4,15.111446380615234
3873,1334,1,12.944936752319336
-1127,-7663,1,11.96742057800293
2798,-5656,2,16.699552536010742
-9653,3023,1,13.962507247924805
-3414,-8425,1,15.01154899597168
